Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/15/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/12/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/11/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/10/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/09/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/08/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/05/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/03/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
07/02/2019,10.5,10.5,10.5,10.5,0.0,0.0,1100
07/01/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/28/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/27/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/26/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/25/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/24/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/21/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/20/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/19/2019,10.5,10.5,10.5,10.5,0.0,0.0,800
06/18/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/17/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/14/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/13/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/12/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/11/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/10/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/07/2019,10.5,10.5,10.5,10.5,0.0,0.0,00
06/06/2019,10.5,10.5,10.5,10.5,0.0,0.0,994
06/05/2019,10.45,10.45,10.45,10.45,0.0,0.0,00
06/04/2019,10.45,10.45,10.45,10.45,0.0,0.0,1000
06/03/2019,10.42,10.42,10.42,10.42,0.0,0.0,2300
05/31/2019,10.3586,10.4235,10.3586,10.45,0.0,0.0,19188
05/30/2019,10.4,10.4,10.4,10.4,0.0,0.0,00
05/29/2019,10.4,10.4,10.4,10.4,0.0,0.0,100
05/28/2019,10.41,10.41,10.41,10.41,0.0,0.0,00
05/24/2019,10.41,10.41,10.41,10.41,0.0,0.0,00
05/23/2019,10.41,10.41,10.41,10.41,0.0,0.0,200
05/22/2019,10.41,10.41,10.41,10.41,0.0,0.0,00
05/21/2019,10.41,10.41,10.41,10.41,0.0,0.0,00
05/20/2019,10.41,10.41,10.41,10.41,0.0,0.0,00
05/17/2019,10.41,10.41,10.41,10.41,0.0,0.0,300
05/16/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/15/2019,10.43,10.43,10.43,10.43,0.0,0.0,2150
05/14/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/13/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/10/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/09/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/08/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/07/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/06/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/03/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/02/2019,10.43,10.43,10.43,10.43,0.0,0.0,00
05/01/2019,10.43,10.43,10.43,10.43,0.0,0.0,1530
04/30/2019,10.42,10.42,10.42,10.42,0.0,0.0,3800
04/29/2019,10.42,10.42,10.42,10.42,0.0,0.0,1200
04/26/2019,10.42,10.42,10.42,10.42,0.0,0.0,100
04/25/2019,10.38,10.4099,10.37,10.42,0.0,0.0,10800
04/24/2019,10.35,10.35,10.35,10.35,0.0,0.0,00
04/23/2019,10.35,10.35,10.35,10.35,0.0,0.0,00
04/22/2019,10.35,10.35,10.35,10.35,0.0,0.0,1700
04/18/2019,10.36,10.35,10.35,10.36,0.0,0.0,3995
04/17/2019,10.35,10.35,10.35,10.35,0.0,0.0,00
04/16/2019,10.35,10.35,10.35,10.35,0.0,0.0,00
