Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
07/15/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
07/12/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
07/11/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
07/10/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
07/09/2019,0.34,0.34,0.34,0.34,0.0,0.0,00
07/08/2019,0.33,0.34,0.33,0.34,0.0,0.0,11250
07/05/2019,0.34,0.34,0.34,0.34,0.0,0.0,100
07/03/2019,0.3,0.3,0.3,0.3,0.0,0.0,500
07/02/2019,0.29,0.29,0.29,0.29,0.0,0.0,00
07/01/2019,0.29,0.29,0.29,0.29,0.0,0.0,00
06/28/2019,0.29,0.29,0.29,0.29,0.0,0.0,00
06/27/2019,0.29,0.29,0.29,0.29,0.0,0.0,00
06/26/2019,0.29,0.29,0.29,0.29,0.0,0.0,00
06/25/2019,0.29,0.29,0.29,0.29,0.0,0.0,00
06/24/2019,0.29,0.29,0.29,0.29,0.0,0.0,7100
06/21/2019,0.32,0.29,0.29,0.32,0.0,0.0,1500
06/20/2019,0.33,0.32,0.32,0.33,0.0,0.0,3400
06/19/2019,0.32,0.32,0.32,0.32,0.0,0.0,1000
06/18/2019,0.32,0.32,0.32,0.32,0.0,0.0,1000
06/17/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
06/14/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
06/13/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
06/12/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
06/11/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
06/10/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
06/07/2019,0.32,0.32,0.32,0.32,0.0,0.0,10195
06/06/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
06/05/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
06/04/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
06/03/2019,0.33,0.33,0.33,0.33,0.0,0.0,100
05/31/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/30/2019,0.34,0.35,0.34,0.35,0.0,0.0,400
05/29/2019,0.34,0.34,0.34,0.34,0.0,0.0,400
05/28/2019,0.35,0.35,0.35,0.35,0.0,0.0,400
05/24/2019,0.35,0.36,0.33,0.36,0.0,0.0,500
05/23/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/22/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/21/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/20/2019,0.36,0.35,0.35,0.36,0.0,0.0,20200
05/17/2019,0.35,0.35,0.35,0.35,0.0,0.0,11500
05/16/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/15/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/14/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/13/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
05/10/2019,0.35,0.35,0.35,0.35,0.0,0.0,48000
05/09/2019,0.36,0.35,0.35,0.36,0.0,0.0,2000
05/08/2019,0.3301,0.33,0.33,0.3301,0.0,0.0,50000
05/07/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
05/06/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
05/03/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
05/02/2019,0.33,0.33,0.33,0.33,0.0,0.0,00
05/01/2019,0.33,0.33,0.33,0.33,0.0,0.0,400
04/30/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
04/29/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
04/26/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
04/25/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
04/24/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
04/23/2019,0.35,0.35,0.35,0.35,0.0,0.0,00
04/22/2019,0.33,0.35,0.33,0.35,0.0,0.0,600
04/18/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
04/17/2019,0.32,0.32,0.32,0.32,0.0,0.0,00
04/16/2019,0.3285,0.32,0.32,0.3285,0.0,0.0,6700
